GENE,logFC,PValue,FDR
Dennd6a,-0.944095853061114,8.26349570873694e-7,8.13744745897686e-5
Taf9,-0.872748026384946,8.32690407394411e-7,8.17028613089267e-5
Casp2,-0.979313440308164,8.4298427474592e-7,8.22926075388331e-5
Eloc,-0.85245774006098,8.44756521701844e-7,8.22926075388331e-5
Aig1,-1.304624540315,8.50096255302239e-7,8.25170218673555e-5
Dpy19l1,-1.00168391766758,8.9202467307023e-7,8.62787850155721e-5
Icam1,1.61115957408739,9.20643323515276e-7,8.87310811695805e-5
Lyrm4,-1.07001348715829,9.24344098017532e-7,8.87729619788639e-5
Leprot,-1.00716541359094,9.40049123811753e-7,8.97185171443569e-5
Zfp808,-1.9985759488112,9.40791691605347e-7,8.97185171443569e-5
Caprin2,-1.72318347236074,9.56760960512918e-7,9.065490520073e-5
Slc35g1,-1.86890324326427,9.57281643644339e-7,9.065490520073e-5
Serinc5,-1.15855572423807,9.66178490171101e-7,9.11797402234735e-5
C1qtnf12,-2.50511238675013,9.7936405635233e-7,9.18753008370755e-5
Taf9b,-1.11178712616496,9.80309696558074e-7,9.18753008370755e-5
Crlf3,-0.788968766360884,1.00209503963833e-6,9.35606561542347e-5
Rgs10,-1.04298251488903,1.00517721759581e-6,9.35606561542347e-5
Akap2,1.3632925955731101,1.00886561395613e-6,9.35834761833232e-5
Gm2695,-0.810625120102908,1.02782849435816e-6,9.50181994835384e-5
Gba2,-1.17803351868744,1.03492474149176e-6,9.51970282941047e-5
Ppm1g,-1.08953032934963,1.03676810681243e-6,9.51970282941047e-5
C1galt1,-1.05565019797412,1.04389633502293e-6,9.52759245155419e-5
Heatr5a,-1.05619238703952,1.04463834230956e-6,9.52759245155419e-5
Usp45,-1.31971715267442,1.04815182911695e-6,9.52766507142795e-5
Raf1,-0.751628443930068,1.06992160461551e-6,9.69313309728161e-5
Abcb1b,2.00907032105215,1.07367686849104e-6,9.69483840821199e-5
D3Ertd751e,-1.27580264876862,1.09405160455137e-6,9.84195042073958e-5
Slc41a3,-1.82048723300666,1.09943787429676e-6,9.84195042073958e-5
Bbs12,-1.61782263730714,1.10083260160596e-6,9.84195042073958e-5
A430033K04Rik,-1.20493672126084,1.13106077870129e-6,1.0079049476827e-4
Etaa1,-1.10369197467256,1.14318577139667e-6,1.01538059087549e-4
Tmem41a,-1.3065243672203,1.15568835059399e-6,1.02280087381909e-4
Prdx6,-1.02849525751104,1.15906644518298e-6,1.02280087381909e-4
Csnk1g1,1.04768498769221,1.1863940104656e-6,1.04213858647887e-4
Mrps24,-0.974618089912072,1.18864918432779e-6,1.04213858647887e-4
Entpd5,-0.961720128696462,1.20768908671199e-6,1.05293990423312e-4
Rsph3a,-1.05623021870464,1.20871720858286e-6,1.05293990423312e-4
Hsdl2,-0.931892510651702,1.22555480687459e-6,1.06350032835406e-4
Rab22a,-0.649079538665315,1.22866589316448e-6,1.06350032835406e-4
Psmd7,-0.862567398040506,1.23413214302681e-6,1.06484055604208e-4
Ash2l,-0.873799617572618,1.24987061772388e-6,1.07500738984548e-4
Thap11,-0.777866482266336,1.25650403220087e-6,1.07730356754534e-4
Kank3,1.94094579887782,1.26483505361828e-6,1.08103622397142e-4
Gm10658,-1.7904978026209,1.27991075638813e-6,1.09043077385746e-4
Mtss1,-1.32829972395644,1.28385094239813e-6,1.09043077385746e-4
Unc50,-0.837775826441129,1.29873402045889e-6,1.09963526299228e-4
1110004F10Rik,-0.775779353294362,1.30406191548648e-6,1.10071735406854e-4
Ints7,-1.19040403493798,1.31316407879022e-6,1.10496862221174e-4
Cnot9,-0.907275736896347,1.31959830007951e-6,1.10695562339077e-4
1810059H22Rik,-2.80563869134911,1.32386957886661e-6,1.10712157796971e-4
4933431E20Rik,-2.52704931693481,1.32803278605511e-6,1.10719641387091e-4
Dennd4c,-1.04726997686539,1.33687081267515e-6,1.11115632470024e-4
